R,UHF_STO-3G,UHF_cc-pVDZ,UHF_cc-pVTZ
0.90,-1.0194970552,-1.0259315110,-1.0424479536
0.92,-1.0305550693,-1.0366795108,-1.0522652657
0.94,-1.0406712807,-1.0465324548,-1.0612433467
0.96,-1.0499114005,-1.0555565375,-1.0694449864
0.98,-1.0583356762,-1.0638123561,-1.0769275691
1.00,-1.0659994616,-1.0713554666,-1.0837436245
1.02,-1.0729537164,-1.0782368736,-1.0899413121
1.04,-1.0792454470,-1.0845034658,-1.0955648552
1.06,-1.0849180950,-1.0901984015,-1.1006549097
1.08,-1.0900118792,-1.0953614521,-1.1052489082
1.10,-1.0945640978,-1.1000293088,-1.1093813564
1.12,-1.0986093955,-1.1042358565,-1.1130840992
1.14,-1.1021799994,-1.1080124192,-1.1163865588
1.16,-1.1053059281,-1.1113879813,-1.1193159471
1.18,-1.1080151770,-1.1143893863,-1.1218974569
1.20,-1.1103338826,-1.1170415164,-1.1241544342
1.22,-1.1122864695,-1.1193674549,-1.1261085323
1.24,-1.1138957806,-1.1213886340,-1.1277798521
1.26,-1.1151831945,-1.1231249683,-1.1291870687
1.28,-1.1161687298,-1.1245949769,-1.1303475465
1.30,-1.1168711405,-1.1258158942,-1.1312774427
1.32,-1.1173080010,-1.1268037714,-1.1319918032
1.34,-1.1174957841,-1.1275735688,-1.1325046483
1.36,-1.1174499321,-1.1281392404,-1.1328290520
1.38,-1.1171849220,-1.1285138115,-1.1329772140
1.40,-1.1167143253,-1.1287094491,-1.1329605256
1.42,-1.1160508641,-1.1287375271,-1.1327896301
1.44,-1.1152064628,-1.1286086856,-1.1324744780
1.46,-1.1141922965,-1.1283328850,-1.1320243778
1.48,-1.1130188366,-1.1279194564,-1.1314480425
1.50,-1.1116958937,-1.1273771473,-1.1307536326
1.52,-1.1102326579,-1.1267141632,-1.1299487948
1.54,-1.1086377375,-1.1259382063,-1.1290406988
1.56,-1.1069191949,-1.1250565112,-1.1280360701
1.58,-1.1050845816,-1.1240758768,-1.1269412211
1.60,-1.1031409709,-1.1230026963,-1.1257620789
1.62,-1.1010949891,-1.1218429848,-1.1245042115
1.64,-1.0989528449,-1.1206024043,-1.1231728521
1.66,-1.0967203582,-1.1192862869,-1.1217729210
1.68,-1.0944029863,-1.1178996545,-1.1203090464
1.70,-1.0920058496,-1.1164472457,-1.1187855833
1.72,-1.0895337550,-1.1149335221,-1.1172066313
1.74,-1.0869912194,-1.1133626941,-1.1155760507
1.76,-1.0843824900,-1.1117387334,-1.1138974779
1.78,-1.0817115652,-1.1100653878,-1.1121743396
1.80,-1.0789822125,-1.1083461945,-1.1104098656
1.82,-1.0761979869,-1.1065844923,-1.1086071011
1.84,-1.0733622464,-1.1047834332,-1.1067689182
1.86,-1.0704781677,-1.1029459930,-1.1048980264
1.88,-1.0675487602,-1.1010749817,-1.1029969824
1.90,-1.0645768788,-1.0991730523,-1.1010681995
1.92,-1.0615652359,-1.0972427098,-1.0991139560
1.94,-1.0585164125,-1.0952863195,-1.0971364033
1.96,-1.0554328683,-1.0933061145,-1.0951375733
1.98,-1.0523169505,-1.0913042029,-1.0931193859
2.00,-1.0491709027,-1.0892825750,-1.0910836548
2.02,-1.0459968720,-1.0872431089,-1.0890320929
2.04,-1.0427969162,-1.0851875775,-1.0869663232
2.06,-1.0395730095,-1.0831176535,-1.0848878757
2.08,-1.0363270488,-1.0810349150,-1.0827981984
2.10,-1.0330608578,-1.0789408507,-1.0806986608
2.12,-1.0297761924,-1.0768368648,-1.0785905576
2.14,-1.0264747439,-1.0747242811,-1.0764751134
2.16,-1.0231581430,-1.0726043481,-1.0743534864
2.18,-1.0198279793,-1.0704782423,-1.0722267721
2.20,-1.0165566822,-1.0683470727,-1.0700960063
2.22,-1.0134082690,-1.0662118844,-1.0679621691
2.24,-1.0103781231,-1.0640736617,-1.0658261870
2.26,-1.0074618123,-1.0619333322,-1.0636889366
2.28,-1.0046550792,-1.0597917691,-1.0615512464
2.30,-1.0019538329,-1.0576647399,-1.0594157674
2.32,-0.9993541408,-1.0556058143,-1.0573319898
2.34,-0.9968522212,-1.0536175974,-1.0553198290
2.36,-0.9944444363,-1.0516977587,-1.0533769237
2.38,-0.9921272856,-1.0498440344,-1.0515009818
2.40,-0.9898973999,-1.0480542271,-1.0496897784
2.42,-0.9877515357,-1.0463262046,-1.0479411555
2.44,-0.9856865698,-1.0446578985,-1.0462530198
2.46,-0.9836994942,-1.0430473035,-1.0446233419
2.48,-0.9817874117,-1.0414924758,-1.0430501551
2.50,-0.9799475312,-1.0399915319,-1.0415315531
2.52,-0.9781771636,-1.0385426475,-1.0400656897
2.54,-0.9764737180,-1.0371440556,-1.0386507764
2.56,-0.9748346981,-1.0357940458,-1.0372850814
2.58,-0.9732576980,-1.0344909623,-1.0359669282
2.60,-0.9717403999,-1.0332332028,-1.0346946939
2.62,-0.9702805698,-1.0320192171,-1.0334668080
2.64,-0.9688760555,-1.0308475052,-1.0322817506
2.66,-0.9675247828,-1.0297166169,-1.0311380515
2.68,-0.9662247533,-1.0286251492,-1.0300342884
2.70,-0.9649740416,-1.0275717460,-1.0289690856
2.72,-0.9637707926,-1.0265550958,-1.0279411118
2.74,-0.9626132189,-1.0255739312,-1.0269490833
2.76,-0.9614995990,-1.0246270271,-1.0259917549
2.78,-0.9604282744,-1.0237131992,-1.0250679246
2.80,-0.9593976479,-1.0228313035,-1.0241764303
2.82,-0.9584061809,-1.0219802342,-1.0233161492
2.84,-0.9574523920,-1.0211589232,-1.0224859960
2.86,-0.9565348544,-1.0203663384,-1.0216849223
2.88,-0.9556521944,-1.0196014828,-1.0209119148
2.90,-0.9548030893,-1.0188633934,-1.0201659949
2.92,-0.9539862658,-1.0181511400,-1.0194462174
2.94,-0.9532004981,-1.0174638241,-1.0187516690
2.96,-0.9524446062,-1.0168005781,-1.0180814680
2.98,-0.9517174545,-1.0161605639,-1.0174347627
3.00,-0.9510179497,-1.0155429724,-1.0168107309
3.02,-0.9503450399,-1.0149470222,-1.0162085785
3.04,-0.9496977128,-1.0143719587,-1.0156275390
3.06,-0.9490749941,-1.0138170537,-1.0150668723
3.08,-0.9484759465,-1.0132816035,-1.0145258641
3.10,-0.9478996681,-1.0127649294,-1.0140038248
3.12,-0.9473452911,-1.0122663755,-1.0135000889
3.14,-0.9468119806,-1.0117853093,-1.0130140138
3.16,-0.9462989333,-1.0113211196,-1.0125449797
3.18,-0.9458053767,-1.0108732168,-1.0120923883
3.20,-0.9453305673,-1.0104410317,-1.0116556621
3.22,-0.9448737902,-1.0100240148,-1.0112342441
3.24,-0.9444343574,-1.0096216358,-1.0108275965
3.26,-0.9440116073,-1.0092333829,-1.0104352007
3.28,-0.9436049035,-1.0088587620,-1.0100565561
3.30,-0.9432136339,-1.0084972964,-1.0096911798
3.32,-0.9428372095,-1.0081485259,-1.0093386058
3.34,-0.9424750640,-1.0078120060,-1.0089983845
3.36,-0.9421266526,-1.0074873090,-1.0086700822
3.38,-0.9417914514,-1.0071740208,-1.0083532804
3.40,-0.9414689562,-1.0068717423,-1.0080475754
3.42,-0.9411586824,-1.0065800883,-1.0077525777
3.44,-0.9408601637,-1.0062986870,-1.0074679114
