R,RHF_STO-3G,RHF_cc-pVDZ,RHF_cc-pVTZ
1.5,-7.608981656808661,-7.7277862632248695,-7.738159638189007
1.52,-7.620415278850019,-7.738864285930322,-7.7488522389206365
1.54,-7.631413538639631,-7.749518744822758,-7.759142420612145
1.56,-7.64199177061591,-7.759765147609883,-7.769044669081708
1.58,-7.652164759447086,-7.769618393740139,-7.778572906728966
1.6,-7.6619467664519885,-7.779092805937916,-7.787740520720025
1.62,-7.671351551776404,-7.788202159067804,-7.796560388848729
1.6400000000000001,-7.680392395847536,-7.796959706617598,-7.805044903364695
1.66,-7.6890821173995265,-7.805378205069851,-7.813205993017617
1.68,-7.697433090262574,-7.813469936364757,-7.821055143530487
1.7,-7.70545725858925,-7.82124672869906,-7.8286034166821326
1.72,-7.713166150893096,-7.828719975813803,-7.835861468155182
1.74,-7.720570893058028,-7.8359006549474355,-7.842839564281059
1.76,-7.727682220558174,-7.842799343597488,-7.8495475977965885
1.78,-7.734510490085029,-7.849426235220234,-7.855995102709645
1.8,-7.7410656906078446,-7.855791153982982,-7.862191268358814
1.82,-7.747357454070551,-7.861903568670435,-7.868144952740193
1.84,-7.7533950657759405,-7.867772605834379,-7.873864695165491
1.8599999999999999,-7.759187474532755,-7.8734070622658265,-7.87935872830715
1.88,-7.764743302618966,-7.8788154168566695,-7.884634989680011
1.9,-7.770070855600142,-7.884005841912433,-7.889701132602424
1.92,-7.775178132029611,-7.888986213966717,-7.89456453667648
1.94,-7.780072833047024,-7.893764124142924,-7.8992323178193065
1.96,-7.7847623718839,-7.898346888101891,-7.903711337879141
1.98,-7.789253883277306,-7.902741555608362,-7.908008213860612
2.0,-7.793554232787692,-7.906954919745756,-7.912129326785433
2.02,-7.797670026013515,-7.910993525802962,-7.916080830209854
2.04,-7.801607617691781,-7.914863679855204,-7.919868658418352
2.06,-7.805373120671984,-7.918571457056746,-7.923498534311518
2.08,-7.8089724147497765,-7.922122709661696,-7.926975977004155
2.1,-7.812411155346396,-7.925523074786842,-7.930306309147269
2.12,-7.81569478202003,-7.9287779819287625,-7.9334946639874
2.14,-7.818828526795928,-7.931892660246673,-7.936545992174537
2.16,-7.82181742230277,-7.934872145620748,-7.939465068329405
2.18,-7.824666309704548,-7.937721287495456,-7.9422564973796534
2.2,-7.827379846417966,-7.940444755516111,-7.944924720673367
2.2199999999999998,-7.829962513607189,-7.943047045967395,-7.947474021878691
2.24,-7.832418623449265,-7.945532488020484,-7.94990853267658
2.26,-7.834752326164855,-7.947905249796218,-7.952232238253869
2.2800000000000002,-7.836967616810712,-7.950169344250954,-7.95444898260344
2.3,-7.83906834183164,-7.952328634890501,-7.956562473637877
2.3200000000000003,-7.841058205370772,-7.9543868413181835,-7.958576288122603
2.34,-7.842940775338739,-7.956347544621164,-7.960493876434506
2.36,-7.844719489243082,-7.958214192599214,-7.962318567151683
2.38,-7.8463976597805045,-7.95999010483943,-7.964053571480455
2.4,-7.847978480195282,-7.961678477639385,-7.965701987524049
2.42,-7.849465029408252,-7.963282388780463,-7.96726680439952
2.44,-7.850860276918657,-7.964804802152892,-7.96875090620732
2.46,-7.852167087500656,-7.966248572233105,-7.970157075858855
2.48,-7.853388225659962,-7.967616448413827,-7.971487998767107
2.5,-7.854526359911078,-7.968911079186717,-7.972746266405109
