R,UHF_STO-3G,UHF_cc-pVDZ,UHF_cc-pVTZ
1.50,-7.608981656,-7.727978480,-7.738159638
1.52,-7.620415278,-7.739059770,-7.748852239
1.54,-7.631413538,-7.749717360,-7.759142421
1.56,-7.641991770,-7.759966754,-7.769044669
1.58,-7.652164759,-7.769822848,-7.778572907
1.60,-7.661946766,-7.779299961,-7.787740521
1.62,-7.671351552,-7.788411866,-7.796560389
1.64,-7.680392396,-7.797171815,-7.805044903
1.66,-7.689082118,-7.805592564,-7.813205993
1.68,-7.697433091,-7.813686390,-7.821055144
1.70,-7.705457259,-7.821465124,-7.828603417
1.72,-7.713166151,-7.828940160,-7.835861468
1.74,-7.720570894,-7.836122476,-7.842839564
1.76,-7.727682221,-7.843022651,-7.849547598
1.78,-7.734510491,-7.849650880,-7.855995103
1.80,-7.741065691,-7.856016989,-7.862191268
1.82,-7.747357455,-7.862130450,-7.868144953
1.84,-7.753395067,-7.868000393,-7.873864695
1.86,-7.759187476,-7.873635616,-7.879358728
1.88,-7.764743304,-7.879044603,-7.884634990
1.90,-7.770070857,-7.884235529,-7.889701133
1.92,-7.775178133,-7.889216276,-7.894564537
1.94,-7.780072835,-7.893994437,-7.899232318
1.96,-7.784762373,-7.898577333,-7.903711338
1.98,-7.789253885,-7.902972016,-7.908008214
2.00,-7.793554235,-7.907185285,-7.912129327
2.02,-7.797670028,-7.911223688,-7.916080830
2.04,-7.801607620,-7.915093534,-7.919868658
2.06,-7.805373123,-7.918800902,-7.923498534
2.08,-7.808972417,-7.922351647,-7.926975977
2.10,-7.812411158,-7.925751410,-7.930306309
2.12,-7.815694785,-7.929005621,-7.933494664
2.14,-7.818828530,-7.932119512,-7.936545992
2.16,-7.821817425,-7.935098120,-7.939465068
2.18,-7.824666313,-7.937946297,-7.942256497
2.20,-7.827379850,-7.940668712,-7.944924721
2.22,-7.829962517,-7.943269862,-7.947474022
2.24,-7.832418627,-7.945754076,-7.949908533
2.26,-7.834752330,-7.948125523,-7.952232238
2.28,-7.836967621,-7.950388214,-7.954448983
2.30,-7.839068346,-7.952546012,-7.956562474
2.32,-7.841058210,-7.954602636,-7.958576288
2.34,-7.842940780,-7.956561667,-7.960493876
2.36,-7.844719494,-7.958426548,-7.962318567
2.38,-7.846397665,-7.960200600,-7.964053571
2.40,-7.847978486,-7.961887017,-7.965701988
2.42,-7.849465035,-7.963488877,-7.967266804
2.44,-7.850860283,-7.965009143,-7.968750906
2.46,-7.852167094,-7.966450668,-7.970157076
2.48,-7.853388232,-7.967816203,-7.971487999
2.50,-7.854526366,-7.969108395,-7.972746266
